2562849864,2023886638,1612.07457,None
2903557332,1975749575,1803.01872,None
2024147048,2053850157,0711.0877,cond-mat9902084
2621807841,2090176338,1706.02792,None
2009160413,2075315397,1401.1286,astro-ph0108143
1556026352,2126705254,1412.6186,hep-th0611243
2074036034,2087585288,0812.0960,None
2204240299,2067673416,1206.1903,None
2900754195,2012135006,1811.08897,None
2888665089,2070155593,1808.08711,None
2067093237,2068817128,1107.0276,1102.4227
1539004828,2135545182,1502.05281,None
2268842756,2243368185,1509.03638,1103.1221
2604799547,2159932990,1703.09902,None
2883065952,1990289273,1807.09787,gr-qc0310125
1923058861,2087101668,1205.6895,1103.3728
